CODIGO_MED,ds,PRECIO,y,STOCK_FIN,MEDTIP_I,MEDTIP_M,MEDPET_P,MEDPET__,MEDFF_AEROSO,MEDFF_CREMA,MEDFF_GAS,MEDFF_GEL,MEDFF_INYECT,MEDFF_JABON,MEDFF_JARABE,MEDFF_KIT,MEDFF_LOCION,MEDFF_OVULO,MEDFF_PAR,MEDFF_POLVO,MEDFF_SET,MEDFF_SOLUCI,MEDFF_SUSPEN,MEDFF_TABLET,MEDFF_UNGÜEN,MEDFF_UNGšEN,MEDFF_UNIDAD,MEDEST_E,MEDEST_S,MEDEST__
91,2020-12,0.03,0.0,260,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
91,2021-01,0.03,214.0,46,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
91,2021-02,0.03,46.0,800,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
91,2021-03,0.03,10.0,790,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
91,2021-04,0.03,80.0,710,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
91,2021-05,0.03,10.0,700,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
91,2021-06,0.03,80.0,620,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
91,2021-07,0.03,150.0,470,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
91,2021-08,0.03,0.0,470,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
91,2021-09,0.03,12.0,458,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
91,2021-10,0.03,130.0,328,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
91,2021-11,0.03,321.0,7,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
91,2021-12,0.03,7.0,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
91,2022-01,0.03,0.0,900,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
